日期,经度,纬度,高程,日降雨量,涌水量
2023-01-01,400093.254,3044617.466,340,1.747,201.5
2023-01-02,400093.254,3044617.466,340,3.16,201.125
2023-01-03,400093.254,3044617.466,340,0.857,200.75
2023-01-04,400093.254,3044617.466,340,1.712,200.375
2023-01-05,400093.254,3044617.466,340,1.942,200.0
2023-01-06,400093.254,3044617.466,340,0.201,200.0
2023-01-07,400093.254,3044617.466,340,0.006,200.0
2023-01-08,400093.254,3044617.466,340,0.043,200.0
2023-01-09,400093.254,3044617.466,340,0.099,200.0
2023-01-10,400093.254,3044617.466,340,0.266,200.0
2023-01-11,400093.254,3044617.466,340,0.365,200.0
2023-01-12,400093.254,3044617.466,340,0.176,200.0
2023-01-13,400093.254,3044617.466,340,2.052,200.0
2023-01-14,400093.254,3044617.466,340,3.953,200.0
2023-01-15,400093.254,3044617.466,340,3.943,200.0
2023-01-16,400093.254,3044617.466,340,1.413,200.0
2023-01-17,400093.254,3044617.466,340,2.615,200.0
2023-01-18,400093.254,3044617.466,340,0.636,200.0
2023-01-19,400093.254,3044617.466,340,0.41,199.7
2023-01-20,400093.254,3044617.466,340,0.951,199.4
2023-01-21,400093.254,3044617.466,340,1.063,199.1
2023-01-22,400093.254,3044617.466,340,0.726,198.8
2023-01-23,400093.254,3044617.466,340,4.415,198.5
2023-01-24,400093.254,3044617.466,340,4.727,198.2
2023-01-25,400093.254,3044617.466,340,0.187,197.9
2023-01-26,400093.254,3044617.466,340,2.155,197.6
2023-01-27,400093.254,3044617.466,340,3.925,197.3
2023-01-28,400093.254,3044617.466,340,0.672,197.0
2023-01-29,400093.254,3044617.466,340,0.013,197.0
2023-01-30,400093.254,3044617.466,340,0.006,197.0
2023-01-31,400093.254,3044617.466,340,0.047,197.0
2023-02-01,400093.254,3044617.466,340,0.231,197.0
2023-02-02,400093.254,3044617.466,340,1.454,197.0
2023-02-03,400093.254,3044617.466,340,0.332,197.0
2023-02-04,400093.254,3044617.466,340,2.133,197.0
2023-02-05,400093.254,3044617.466,340,1.465,197.0
2023-02-06,400093.254,3044617.466,340,1.778,197.0
2023-02-07,400093.254,3044617.466,340,3.46,197.0
2023-02-08,400093.254,3044617.466,340,2.313,197.0
2023-02-09,400093.254,3044617.466,340,1.911,197.0
2023-02-10,400093.254,3044617.466,340,1.164,197.0
2023-02-11,400093.254,3044617.466,340,1.068,197.0
2023-02-12,400093.254,3044617.466,340,5.228,197.0
2023-02-13,400093.254,3044617.466,340,5.776,197.0
2023-02-14,400093.254,3044617.466,340,1.567,197.0
2023-02-15,400093.254,3044617.466,340,1.783,197.0
2023-02-16,400093.254,3044617.466,340,0.524,197.0
2023-02-17,400093.254,3044617.466,340,0.101,197.0
2023-02-18,400093.254,3044617.466,340,2.087,197.0
2023-02-19,400093.254,3044617.466,340,1.072,197.0
2023-02-20,400093.254,3044617.466,340,1.6,197.0
2023-02-21,400093.254,3044617.466,340,3.862,197.0
2023-02-22,400093.254,3044617.466,340,3.581,197.0
2023-02-23,400093.254,3044617.466,340,3.151,197.0
2023-02-24,400093.254,3044617.466,340,2.651,204.167
2023-02-25,400093.254,3044617.466,340,1.281,211.333
2023-02-26,400093.254,3044617.466,340,0.037,218.5
2023-02-27,400093.254,3044617.466,340,0.286,225.667
2023-02-28,400093.254,3044617.466,340,1.859,232.833
2023-03-01,400093.254,3044617.466,340,4.526,240.0
2023-03-02,400093.254,3044617.466,340,2.927,240.0
2023-03-03,400093.254,3044617.466,340,2.293,240.0
2023-03-04,400093.254,3044617.466,340,0.772,240.0
2023-03-05,400093.254,3044617.466,340,0.645,240.0
2023-03-06,400093.254,3044617.466,340,2.172,240.0
2023-03-07,400093.254,3044617.466,340,3.028,240.0
2023-03-08,400093.254,3044617.466,340,2.25,240.0
2023-03-09,400093.254,3044617.466,340,0.936,240.0
2023-03-10,400093.254,3044617.466,340,1.975,240.0
2023-03-11,400093.254,3044617.466,340,7.304,240.0
2023-03-12,400093.254,3044617.466,340,19.985,240.0
2023-03-13,400093.254,3044617.466,340,1.577,240.0
2023-03-14,400093.254,3044617.466,340,0.22,240.0
2023-03-15,400093.254,3044617.466,340,1.197,240.0
2023-03-16,400093.254,3044617.466,340,2.691,240.0
2023-03-17,400093.254,3044617.466,340,2.275,239.286
2023-03-18,400093.254,3044617.466,340,2.664,238.571
2023-03-19,400093.254,3044617.466,340,1.623,237.857
2023-03-20,400093.254,3044617.466,340,1.287,237.143
2023-03-21,400093.254,3044617.466,340,1.663,236.429
2023-03-22,400093.254,3044617.466,340,6.254,235.714
2023-03-23,400093.254,3044617.466,340,3.577,235.0
2023-03-24,400093.254,3044617.466,340,1.65,235.0
2023-03-25,400093.254,3044617.466,340,3.203,235.0
2023-03-26,400093.254,3044617.466,340,4.739,235.0
2023-03-27,400093.254,3044617.466,340,5.805,235.0
2023-03-28,400093.254,3044617.466,340,4.596,235.0
2023-03-29,400093.254,3044617.466,340,1.468,235.0
2023-03-30,400093.254,3044617.466,340,0.423,235.0
2023-03-31,400093.254,3044617.466,340,2.13,230.714
2023-04-01,400093.254,3044617.466,340,0.188,226.429
2023-04-02,400093.254,3044617.466,340,1.038,222.143
2023-04-03,400093.254,3044617.466,340,2.637,217.857
2023-04-04,400093.254,3044617.466,340,1.594,213.571
2023-04-05,400093.254,3044617.466,340,4.984,209.286
2023-04-06,400093.254,3044617.466,340,6.27,205.0
2023-04-07,400093.254,3044617.466,340,1.655,206.429
2023-04-08,400093.254,3044617.466,340,1.417,207.857
2023-04-09,400093.254,3044617.466,340,0.866,209.286
2023-04-10,400093.254,3044617.466,340,1.125,210.714
2023-04-11,400093.254,3044617.466,340,2.647,212.143
2023-04-12,400093.254,3044617.466,340,0.533,213.571
2023-04-13,400093.254,3044617.466,340,1.718,215.0
2023-04-14,400093.254,3044617.466,340,8.322,218.571
2023-04-15,400093.254,3044617.466,340,8.822,222.143
2023-04-16,400093.254,3044617.466,340,0.037,225.714
2023-04-17,400093.254,3044617.466,340,1.288,229.286
2023-04-18,400093.254,3044617.466,340,8.815,232.857
2023-04-19,400093.254,3044617.466,340,2.695,236.429
2023-04-20,400093.254,3044617.466,340,5.636,240.0
2023-04-21,400093.254,3044617.466,340,5.605,240.714
2023-04-22,400093.254,3044617.466,340,4.142,241.429
2023-04-23,400093.254,3044617.466,340,3.443,242.143
2023-04-24,400093.254,3044617.466,340,4.214,242.857
2023-04-25,400093.254,3044617.466,340,0.784,243.571
2023-04-26,400093.254,3044617.466,340,2.143,244.286
2023-04-27,400093.254,3044617.466,340,0.866,245.0
2023-04-28,400093.254,3044617.466,340,13.999,245.0
2023-04-29,400093.254,3044617.466,340,3.317,245.0
2023-04-30,400093.254,3044617.466,340,0.265,245.0
